sim_idx,n_flows,wall_clock_s
0,272,41.263
1,272,7.937
2,272,5.354
3,272,5.781
4,272,7.063
5,272,8.844
6,272,18.899
7,272,14.561
8,272,6.99
9,272,6.053
10,272,5.76
11,272,5.916
12,272,6.881
13,272,5.997
14,272,6.615
15,272,6.345
16,272,4.672
17,272,5.536
18,272,5.68
19,272,4.944
20,272,5.382
21,272,6.445
22,272,4.848
23,272,4.747
24,272,4.497
25,272,4.851
26,272,4.605
27,272,4.873
28,272,6.099
29,272,4.835
30,272,4.655
31,272,4.487
32,272,4.411
33,272,4.562
34,272,5.124
35,272,6.319
36,272,4.993
37,272,4.659
38,272,4.615
39,272,4.566
40,272,5.09
41,272,6.527
42,272,5.384
43,272,4.545
44,272,4.511
45,272,4.407
46,272,4.813
47,272,4.988
48,272,6.065
49,272,4.876
50,272,4.702
51,272,4.541
52,272,4.39
53,272,4.703
54,272,5.296
55,272,6.023
56,272,4.41
57,272,4.574
58,272,4.694
59,272,4.689
60,272,4.406
61,272,5.225
62,272,6.741
63,272,4.585
64,272,5.183
65,272,5.224
66,272,4.658
67,272,4.348
68,272,6.747
69,272,5.061
70,272,4.896
71,272,5.332
72,272,4.402
73,272,4.563
74,272,8.464
75,272,8.979
76,272,8.301
77,272,5.836
78,272,6.053
79,272,4.569
80,272,6.24
81,272,5.474
82,272,4.646
83,272,4.933
84,272,4.751
85,272,4.544
86,272,4.743
87,272,5.808
88,272,6.7
89,272,4.635
90,272,4.636
91,272,4.897
92,272,4.862
93,272,5.503
94,272,4.676
95,272,5.765
96,272,4.597
97,272,4.998
98,272,4.812
99,272,4.901
100,272,5.714
101,272,5.167
102,272,4.824
103,272,4.725
104,272,4.889
105,272,4.704
106,272,5.013
107,272,5.827
108,272,5.51
109,272,4.701
110,272,7.735
111,272,7.014
112,272,5.226
113,272,4.551
114,272,4.608
115,272,4.712
116,272,4.453
117,272,4.345
118,272,4.437
119,272,5.654
120,272,4.757
121,272,4.816
122,272,4.505
123,272,4.768
124,272,4.45
125,272,4.462
126,272,5.175
127,272,4.924
128,272,4.656
129,272,4.293
130,272,4.386
131,272,4.494
132,272,4.846
133,272,5.231
134,272,4.857
135,272,4.597
136,272,5.18
137,272,4.415
138,272,4.37
139,272,4.87
140,272,7.142
141,272,4.965
142,272,5.194
143,272,4.528
144,272,4.729
145,272,4.873
146,272,6.347
147,272,5.004
148,272,5.304
149,272,4.58
150,272,4.642
151,272,4.545
152,272,4.602
153,272,5.233
154,272,4.39
155,272,4.472
156,272,4.892
157,272,4.47
158,272,4.499
159,272,4.469
160,272,5.314
161,272,4.845
162,272,6.0
163,272,7.721
164,272,9.497
165,272,8.432
166,272,7.477
167,272,10.611
168,272,8.759
169,272,6.763
170,272,8.877
171,272,16.736
172,272,8.916
173,272,8.7
174,272,7.122
175,272,8.185
176,272,7.902
177,272,7.458
178,272,7.999
179,272,7.542
180,272,8.084
181,272,7.472
182,272,7.493
183,272,7.285
184,272,8.074
185,272,8.864
186,272,7.066
187,272,7.15
188,272,7.082
189,272,7.401
190,272,7.855
191,272,7.182
192,272,7.49
193,272,7.658
194,272,8.575
195,272,7.439
196,272,8.728
197,272,7.702
198,272,6.992
199,272,6.785
200,272,7.289
201,272,7.156
202,272,6.885
203,272,6.97
204,272,6.958
205,272,7.411
206,272,6.967
207,272,8.867
208,272,12.786
209,272,9.714
210,272,7.636
211,272,9.206
212,272,7.52
213,272,6.665
214,272,7.001
215,272,7.001
216,272,6.957
217,272,6.533
218,272,7.006
219,272,6.839
220,272,7.002
221,272,7.459
222,272,6.648
223,272,6.681
224,272,9.099
225,272,8.483
226,272,7.33
227,272,6.86
228,272,10.581
229,272,6.624
230,272,8.588
231,272,9.766
232,272,8.104
233,272,9.199
234,272,8.087
235,272,9.568
236,272,8.211
237,272,9.124
238,272,7.451
239,272,6.929
240,272,6.737
241,272,7.317
242,272,8.877
243,272,11.594
244,272,9.103
245,272,7.961
246,272,9.223
247,272,9.609
248,272,9.48
249,272,8.406
250,272,8.901
251,272,7.621
252,272,7.651
253,272,7.781
254,272,6.553
255,272,7.661
256,272,7.312
257,272,7.372
258,272,7.357
259,272,6.861
260,272,8.815
261,272,7.985
262,272,6.499
263,272,6.495
264,272,7.644
265,272,7.939
266,272,6.204
267,272,6.777
268,272,6.756
269,272,6.86
270,272,8.941
271,272,10.418
272,272,9.763
273,272,11.538
274,272,11.253
275,272,10.185
276,272,10.309
277,272,10.437
278,272,10.768
279,272,10.57
280,272,11.404
281,272,11.674
282,272,10.491
283,272,15.884
284,272,9.631
285,272,10.068
286,272,9.471
287,272,9.656
288,272,10.285
289,272,11.365
290,272,8.466
291,272,8.428
292,272,12.611
293,272,10.093
294,272,8.418
295,272,10.176
296,272,7.469
297,272,7.883
298,272,7.836
299,272,6.735
