sim_idx,n_flows,wall_clock_s,n_perturbations
0,272,21.181,256
1,272,1.049,256
2,272,0.873,256
3,272,0.815,256
4,272,0.976,256
5,272,5.117,256
6,272,0.73,256
7,272,1.227,256
8,272,0.966,256
9,272,1.124,256
10,272,0.99,256
11,272,1.866,256
12,272,1.428,256
13,272,0.712,256
14,272,0.675,256
15,272,0.619,256
16,272,4.324,256
17,272,0.602,256
18,272,1.1,256
19,272,1.093,256
20,272,0.595,256
21,272,0.533,256
22,272,1.129,256
23,272,0.602,256
24,272,3.714,256
25,272,1.022,256
26,272,4.046,256
27,272,0.551,256
28,272,1.108,256
29,272,1.041,256
30,272,0.7,256
31,272,0.715,256
32,272,1.363,256
33,272,4.278,256
34,272,4.457,256
35,272,5.189,256
36,272,0.695,256
37,272,0.761,256
38,272,0.68,256
39,272,1.613,256
40,272,1.2,256
41,272,0.62,256
42,272,0.571,256
43,272,0.612,256
44,272,1.383,256
45,272,1.586,256
46,272,6.186,256
47,272,0.84,256
48,272,6.936,256
49,272,1.003,256
50,272,0.912,256
51,272,6.786,256
52,272,0.663,256
53,272,0.979,256
54,272,1.423,256
55,272,0.625,256
56,272,0.778,256
57,272,0.866,256
58,272,0.728,256
59,272,1.275,256
60,272,4.55,256
61,272,4.728,256
62,272,4.877,256
63,272,0.701,256
64,272,1.451,256
65,272,0.997,256
66,272,5.256,256
67,272,4.404,256
68,272,0.651,256
69,272,0.737,256
70,272,1.168,256
71,272,4.751,256
72,272,0.86,256
73,272,0.769,256
74,272,5.122,256
75,272,0.79,256
76,272,4.894,256
77,272,0.722,256
78,272,1.181,256
79,272,5.706,256
80,272,0.721,256
81,272,0.73,256
82,272,5.444,256
83,272,5.254,256
84,272,0.712,256
85,272,0.673,256
86,272,0.633,256
87,272,0.619,256
88,272,0.77,256
89,272,5.27,256
90,272,0.918,256
91,272,1.259,256
92,272,1.667,256
93,272,0.828,256
94,272,1.069,256
95,272,0.925,256
96,272,0.884,256
97,272,0.654,256
98,272,0.697,256
99,272,0.833,256
100,272,0.834,256
101,272,0.886,256
102,272,0.769,256
103,272,4.981,256
104,272,1.197,256
105,272,1.072,256
106,272,1.399,256
107,272,1.905,256
108,272,2.548,256
109,272,3.202,256
110,272,2.276,256
111,272,1.99,256
112,272,2.012,256
113,272,1.171,256
114,272,1.439,256
115,272,6.853,256
116,272,1.733,256
117,272,0.887,256
118,272,1.087,256
119,272,1.0,256
120,272,0.989,256
121,272,1.097,256
122,272,0.789,256
123,272,5.365,256
124,272,0.719,256
125,272,0.768,256
126,272,0.963,256
127,272,5.584,256
128,272,0.723,256
129,272,0.63,256
130,272,4.05,256
131,272,0.609,256
132,272,0.746,256
133,272,0.659,256
134,272,0.683,256
135,272,0.616,256
136,272,0.614,256
137,272,0.619,256
138,272,0.62,256
139,272,0.591,256
140,272,0.601,256
141,272,0.629,256
142,272,1.125,256
143,272,0.596,256
144,272,1.321,256
145,272,0.711,256
146,272,0.603,256
147,272,4.448,256
148,272,0.612,256
149,272,0.651,256
150,272,0.596,256
151,272,4.119,256
152,272,0.594,256
153,272,0.711,256
154,272,0.711,256
155,272,0.66,256
156,272,0.676,256
157,272,0.68,256
158,272,0.699,256
159,272,1.117,256
160,272,1.169,256
161,272,1.388,256
162,272,4.641,256
163,272,4.349,256
164,272,6.917,256
165,272,6.303,256
166,272,1.149,256
167,272,1.178,256
168,272,1.191,256
169,272,1.014,256
170,272,1.036,256
171,272,1.17,256
172,272,1.275,256
173,272,2.113,256
174,272,1.023,256
175,272,5.884,256
176,272,0.67,256
177,272,0.611,256
178,272,0.564,256
179,272,6.566,256
180,272,1.282,256
181,272,1.243,256
182,272,0.912,256
183,272,6.756,256
184,272,0.764,256
185,272,0.764,256
186,272,5.461,256
187,272,1.125,256
188,272,1.136,256
189,272,0.897,256
190,272,1.016,256
191,272,0.656,256
192,272,1.109,256
193,272,0.715,256
194,272,0.691,256
195,272,0.683,256
196,272,6.821,256
197,272,0.925,256
198,272,1.489,256
199,272,0.801,256
200,272,1.716,256
201,272,1.381,256
202,272,6.971,256
203,272,0.733,256
204,272,5.829,256
205,272,5.151,256
206,272,0.591,256
207,272,0.568,256
208,272,1.08,256
209,272,1.256,256
210,272,5.122,256
211,272,0.738,256
212,272,0.683,256
213,272,1.108,256
214,272,0.628,256
215,272,5.167,256
216,272,0.819,256
217,272,1.759,256
218,272,4.905,256
219,272,0.837,256
220,272,0.668,256
221,272,4.777,256
222,272,1.317,256
223,272,1.221,256
224,272,0.773,256
225,272,0.747,256
226,272,1.187,256
227,272,1.947,256
228,272,1.01,256
229,272,0.902,256
230,272,0.867,256
231,272,0.734,256
